Timestamp,Game ID:,Match Date:,Match Type:,1st Place (Player ID):,1st Place (Corp):,1st Place (Score):,2nd Place (Player ID):,2nd Place (Corp):,2nd Place (Score):,3rd Place (Player ID):,3rd Place (Corp):,3rd Place (Score):,(*For Ties Only*) 1st Place (MC):,(*For Ties Only*) 2nd Place (MC):,(*For Ties Only*) 3rd Place (MC):,Video:,Discord Post:
7/20/2021 14:23:35,A0059,7/20/2021,Season 2,Fltr,Ecoline,102,Chipsmon,Credicor,87,crazypuzz,Helion,67,,,,,"1st - Fltr (102 VP, Ecoline) // 2nd - Chipsmon (87 VP, Credicor) // 3rd - crazypuzz (67 VP, Helion)"
7/20/2021 14:34:18,A0098,7/20/2021,Season 2,Vinkepl,Interplanetary Cinematics,84,Yoshikuru,Saturn Systems,65,Crosiss,Teractor,42,,,,,"1st - Vinkepl (84 VP, Interplanetary Cinematics) // 2nd - Yoshikuru (65 VP, Saturn Systems) // 3rd - Crosiss (42 VP, Teractor)"
7/20/2021 15:59:02,A0111,7/20/2021,Season 2,PapáDeAzúcar,Tharsis Republic,90,adysk,Ecoline,69,Cromemox,Saturn Systems,59,,,,https://youtu.be/gP11S6IkDT4,"1st - PapáDeAzúcar (90 VP, Tharsis Republic) // 2nd - adysk (69 VP, Ecoline) // 3rd - Cromemox (59 VP, Saturn Systems)"
7/20/2021 19:51:40,A0076,7/20/2021,Season 2,Cow_Boy,Interplanetary Cinematics,87,Tjreid1,Mining Guild,83,ThreadPacifist,Saturn Systems,82,,,,https://www.twitch.tv/videos/1093002738,"1st - Cow_Boy (87 VP, Interplanetary Cinematics) // 2nd - Tjreid1 (83 VP, Mining Guild) // 3rd - ThreadPacifist (82 VP, Saturn Systems)"
7/20/2021 19:57:29,A0036,7/20/2021,Season 2,Kkenne5,Mining Guild,77,ecologist,Saturn Systems,75,Big Don,Interplanetary Cinematics,72,,,,,"1st - Kkenne5 (77 VP, Mining Guild) // 2nd - ecologist (75 VP, Saturn Systems) // 3rd - Big Don (72 VP, Interplanetary Cinematics)"
7/20/2021 20:31:54,A0042,7/20/2021,Season 2,esle123,Mining Guild,87,emily's worst nightmare,Ecoline,84,Tinkerbob,Teractor,80,,,,,"1st - esle123 (87 VP, Mining Guild) // 2nd - emily's worst nightmare (84 VP, Ecoline) // 3rd - Tinkerbob (80 VP, Teractor)"
7/21/2021 7:07:48,A0044,7/27/2021,Season 2,Jovian_Boyy,Interplanetary Cinematics,83,shermrah,Saturn Systems,71,aptlswjdyd,Thorgate,57,,,,,"1st - Jovian_Boyy (83 VP, Interplanetary Cinematics) // 2nd - shermrah (71 VP, Saturn Systems) // 3rd - aptlswjdyd (57 VP, Thorgate)"
7/21/2021 9:24:29,A0135,7/22/2021,Season 2,aptlswjdyd,Teractor,97,Thedred,Phobolog,88,monkeyjunkk,Thorgate,56,,,,,"1st - aptlswjdyd (97 VP, Teractor) // 2nd - Thedred (88 VP, Phobolog) // 3rd - monkeyjunkk (56 VP, Thorgate)"
7/21/2021 16:54:26,A0104,7/21/2021,Season 2,Biccis90,Interplanetary Cinematics,100,Fltr,Teractor,92,Andrewcool,Phobolog,69,,,,,"1st - Biccis90 (100 VP, Interplanetary Cinematics) // 2nd - Fltr (92 VP, Teractor) // 3rd - Andrewcool (69 VP, Phobolog)"
7/21/2021 19:25:38,A0083,7/21/2021,Season 2,splitalterego,Credicor,102,Petrifis,Helion,71,BIKELOCK,Teractor,60,,,,,"1st - splitalterego (102 VP, Credicor) // 2nd - Petrifis (71 VP, Helion) // 3rd - BIKELOCK (60 VP, Teractor)"
