Timestamp,Game ID:,Match Date:,Match Type:,1st Place (Player ID):,1st Place (Corp):,1st Place (Score):,2nd Place (Player ID):,2nd Place (Corp):,2nd Place (Score):,3rd Place (Player ID):,3rd Place (Corp):,3rd Place (Score):,(*For Ties Only*) 1st Place (MC):,(*For Ties Only*) 2nd Place (MC):,(*For Ties Only*) 3rd Place (MC):,Video:,Discord Post:
8/5/2021 15:49:39,A0274,8/5/2021,Season 2,Ladyfromafar,Credicor,67,Inspe,Interplanetary Cinematics,65,Belemil,Saturn Systems,61,,,,,"1st - Ladyfromafar (67 VP, Credicor) // 2nd - Inspe (65 VP, Interplanetary Cinematics) // 3rd - Belemil (61 VP, Saturn Systems)"
8/5/2021 20:31:10,A0166,8/5/2021,Season 2,ThreadPacifist,Interplanetary Cinematics,86,deantheatre,Mining Guild,76,ScratchesTheBear,Saturn Systems,68,,,,,"1st - ThreadPacifist (86 VP, Interplanetary Cinematics) // 2nd - deantheatre (76 VP, Mining Guild) // 3rd - ScratchesTheBear (68 VP, Saturn Systems)"
8/5/2021 20:32:13,A0221,8/5/2021,Season 2,enoon,Interplanetary Cinematics,90,HoosierJeff,Teractor,59,vstan,Ecoline,59,,44,40,https://youtu.be/1lhFXnLfiaQ,"1st - enoon (90 VP, Interplanetary Cinematics) // 2nd - HoosierJeff (59 VP, Teractor) // 3rd - vstan (59 VP, Ecoline)"
8/6/2021 7:57:21,A0247,8/6/2021,Season 2,Nekiyan,Inventrix,83,regolith eaters,Credicor,65,CaptainTSR,Tharsis Republic,60,,,,,"1st - Nekiyan (83 VP, Inventrix) // 2nd - regolith eaters (65 VP, Credicor) // 3rd - CaptainTSR (60 VP, Tharsis Republic)"
8/6/2021 10:12:27,A0101,8/6/2021,Season 2,Jacob Cream,Saturn Systems,84,Jimaros2004,Interplanetary Cinematics,81,Zzani,Teractor,77,,,,,"1st - Jacob Cream (84 VP, Saturn Systems) // 2nd - Jimaros2004 (81 VP, Interplanetary Cinematics) // 3rd - Zzani (77 VP, Teractor)"
8/6/2021 15:22:18,A0283,8/6/2021,Season 2,Biccis90,Interplanetary Cinematics,109,AwesomeAxolotl,Mining Guild,102,Dead_Bone,Credicor,87,,,,,"1st - Biccis90 (109 VP, Interplanetary Cinematics) // 2nd - AwesomeAxolotl (102 VP, Mining Guild) // 3rd - Dead_Bone (87 VP, Credicor)"
8/6/2021 20:16:33,A0094,8/6/2021,Season 2,Martinaturis,Tharsis Republic,89,Belemil,Teractor,82,Flery,Credicor,67,,,,,"1st - Martinaturis (89 VP, Tharsis Republic) // 2nd - Belemil (82 VP, Teractor) // 3rd - Flery (67 VP, Credicor)"
8/6/2021 21:11:28,A0311,8/6/2021,Season 2,esle123,Saturn Systems,89,h0dgep0dge,Teractor,79,HoosierJeff,Credicor,70,,,,https://www.twitch.tv/videos/1110510024,"1st - esle123 (89 VP, Saturn Systems) // 2nd - h0dgep0dge (79 VP, Teractor) // 3rd - HoosierJeff (70 VP, Credicor)"
8/6/2021 22:38:13,A0116,8/6/2021,Season 2,TimFinnegan,Tharsis Republic,119,Irather Nottell,Credicor,86,dystopian citizen,Inventrix,79,,,,,"1st - TimFinnegan (119 VP, Tharsis Republic) // 2nd - Irather Nottell (86 VP, Credicor) // 3rd - dystopian citizen (79 VP, Inventrix)"
8/7/2021 13:08:56,A0168,8/7/2021,Season 2,Omar Lapince,Credicor,91,Cow_Boy,Thorgate,83,GoBirds,Inventrix,81,,,,,"1st - Omar Lapince (91 VP, Credicor) // 2nd - Cow_Boy (83 VP, Thorgate) // 3rd - GoBirds (81 VP, Inventrix)"
8/8/2021 9:35:47,a0056,8/8/2021,Season 2,Zzani,Interplanetary Cinematics,144,Ocram82,Tharsis Republic,98,Trzyszcz,Forfeit,0,,,,,"1st - Zzani (144 VP, Interplanetary Cinematics) // 2nd - Ocram82 (98 VP, Tharsis Republic) // 3rd - Trzyszcz (0 VP, Forfeit)"
8/8/2021 10:18:12,A0110,8/8/2021,Season 2,HighlanderKG,Teractor,107,Dahyunayeon,Tharsis Republic,71,Twigg96wafc,Saturn Systems,71,,50,48,,"1st - HighlanderKG (107 VP, Teractor) // 2nd - Dahyunayeon (71 VP, Tharsis Republic) // 3rd - Twigg96wafc (71 VP, Saturn Systems)"
8/8/2021 14:30:35,A0064,8/8/2021,Season 2,PapáDeAzúcar,Credicor,70,Druen,United Nations Mars Initiative,66,Twigg96wafc,Thorgate,61,,,,,"1st - PapáDeAzúcar (70 VP, Credicor) // 2nd - Druen (66 VP, United Nations Mars Initiative) // 3rd - Twigg96wafc (61 VP, Thorgate)"
8/8/2021 14:53:41,A0122,8/8/2021,Season 2,deantheatre,Tharsis Republic,84,Cow_Boy,Saturn Systems,81,tmfan,Interplanetary Cinematics,79,,,,https://www.twitch.tv/videos/1112264579,"1st - deantheatre (84 VP, Tharsis Republic) // 2nd - Cow_Boy (81 VP, Saturn Systems) // 3rd - tmfan (79 VP, Interplanetary Cinematics)"
8/8/2021 15:39:00,A0145,8/8/2021,Season 2,Deginald,Saturn Systems,118,Ocram82,Interplanetary Cinematics,67,Jacob Cream,Mining Guild,67,,63,45,,"1st - Deginald (118 VP, Saturn Systems) // 2nd - Ocram82 (67 VP, Interplanetary Cinematics) // 3rd - Jacob Cream (67 VP, Mining Guild)"
8/8/2021 18:35:50,A0173,8/8/2021,Season 2,splitalterego,Credicor,103,A1RO,Interplanetary Cinematics,84,jjworshipleader,Helion,55,,,,,"1st - splitalterego (103 VP, Credicor) // 2nd - A1RO (84 VP, Interplanetary Cinematics) // 3rd - jjworshipleader (55 VP, Helion)"
8/8/2021 18:56:53,A0220,8/9/2021,Season 2,Qualitaetsgarant,Credicor,84,emily's worst nightmare,Tharsis Republic,76,h0dgep0dge,Teractor,75,,,,https://www.twitch.tv/videos/1112351894,"1st - Qualitaetsgarant (84 VP, Credicor) // 2nd - emily's worst nightmare (76 VP, Tharsis Republic) // 3rd - h0dgep0dge (75 VP, Teractor)"
8/8/2021 21:01:08,A0162,8/8/2021,Season 2,Roto von Bismarck,Credicor,78,kroshtron,Tharsis Republic,72,Irather Nottell,Saturn Systems,69,,,,,"1st - Roto von Bismarck (78 VP, Credicor) // 2nd - kroshtron (72 VP, Tharsis Republic) // 3rd - Irather Nottell (69 VP, Saturn Systems)"
8/9/2021 14:06:47,A0188,8/9/2021,Season 2,Finnsane,Tharsis Republic,109,Lazlo23,Ecoline,99,MistPudim,Credicor,81,,,,,"1st - Finnsane (109 VP, Tharsis Republic) // 2nd - Lazlo23 (99 VP, Ecoline) // 3rd - MistPudim (81 VP, Credicor)"
8/9/2021 20:20:58,A0177,8/9/2021,Season 2,HoosierJeff,Inventrix,82,esle123,Saturn Systems,81,enoon,Teractor,77,,,,https://youtu.be/AEREz-MKXxs,"1st - HoosierJeff (82 VP, Inventrix) // 2nd - esle123 (81 VP, Saturn Systems) // 3rd - enoon (77 VP, Teractor)"
8/10/2021 6:29:00,A0245,8/10/2021,Season 2,HighlanderKG,Teractor,79,PapáDeAzúcar,Mining Guild,63,Cromemox,Credicor,44,,,,,"1st - HighlanderKG (79 VP, Teractor) // 2nd - PapáDeAzúcar (63 VP, Mining Guild) // 3rd - Cromemox (44 VP, Credicor)"
8/10/2021 13:23:54,A0202,8/10/2021,Season 2,regolith eaters,Credicor,128,Rinmay87,Mining Guild,107,Mały Farciarz,Ecoline,96,,,,,"1st - regolith eaters (128 VP, Credicor) // 2nd - Rinmay87 (107 VP, Mining Guild) // 3rd - Mały Farciarz (96 VP, Ecoline)"
8/10/2021 14:11:35,A0194,8/10/2021,Season 2,Dead_Bone,Mining Guild,85,Chipsmon,Ecoline,69,TAMPNGFABRIKEN,Inventrix,63,,,,,"1st - Dead_Bone (85 VP, Mining Guild) // 2nd - Chipsmon (69 VP, Ecoline) // 3rd - TAMPNGFABRIKEN (63 VP, Inventrix)"
8/10/2021 14:37:32,A0109,8/10/2021,Season 2,Druen,Mining Guild,102,TheNerdyPlayboy,Inventrix,78,SquirtleLvl12,Ecoline,76,,,,,"1st - Druen (102 VP, Mining Guild) // 2nd - TheNerdyPlayboy (78 VP, Inventrix) // 3rd - SquirtleLvl12 (76 VP, Ecoline)"
8/10/2021 15:26:51,A0153,8/10/2021,Season 2,HighTac,Saturn Systems,85,Venophile,Inventrix,70,Milestone Party,Ecoline,69,,,,,"1st - HighTac (85 VP, Saturn Systems) // 2nd - Venophile (70 VP, Inventrix) // 3rd - Milestone Party (69 VP, Ecoline)"
8/10/2021 19:59:52,A0206,8/10/2021,Season 2,RonaldMexico,Interplanetary Cinematics,93,Roto von Bismarck,Mining Guild,92,kroshtron,Teractor,87,,,,,"1st - RonaldMexico (93 VP, Interplanetary Cinematics) // 2nd - Roto von Bismarck (92 VP, Mining Guild) // 3rd - kroshtron (87 VP, Teractor)"
8/11/2021 13:58:22,A0105,8/11/2021,Season 2,Dead_Bone,Saturn Systems,84,TAMPNGFABRIKEN,Interplanetary Cinematics,75,crazypuzz,Ecoline,59,,,,,"1st - Dead_Bone (84 VP, Saturn Systems) // 2nd - TAMPNGFABRIKEN (75 VP, Interplanetary Cinematics) // 3rd - crazypuzz (59 VP, Ecoline)"
8/11/2021 18:56:07,A0310,8/12/2021,Season 2,Qualitaetsgarant,Interplanetary Cinematics,106,musicforlife121,Teractor,72,vstan,Credicor,71,,,,https://www.twitch.tv/videos/1115462673,"1st - Qualitaetsgarant (106 VP, Interplanetary Cinematics) // 2nd - musicforlife121 (72 VP, Teractor) // 3rd - vstan (71 VP, Credicor)"
8/11/2021 21:02:30,A0267,8/11/2021,Season 2,HoosierJeff,Saturn Systems,77,emily's worst nightmare,Interplanetary Cinematics,75,musicforlife121,Teractor,66,,,,https://www.twitch.tv/videos/1115593811,"1st - HoosierJeff (77 VP, Saturn Systems) // 2nd - emily's worst nightmare (75 VP, Interplanetary Cinematics) // 3rd - musicforlife121 (66 VP, Teractor)"
8/11/2021 21:15:06,A0260,8/11/2021,Season 2,Mars University,Saturn Systems,85,Big Don,Teractor,71,ARLONG573,Credicor,67,,,,https://www.youtube.com/watch?v=oLwctlDumVs,"1st - Mars University (85 VP, Saturn Systems) // 2nd - Big Don (71 VP, Teractor) // 3rd - ARLONG573 (67 VP, Credicor)"
8/12/2021 8:55:17,A0045,8/12/2021,Season 2,Harrison Gray Fallat,Credicor,81,screamcfc,United Nations Mars Initiative,68,monkeyjunkk,Phobolog,66,,,,,"1st - Harrison Gray Fallat (81 VP, Credicor) // 2nd - screamcfc (68 VP, United Nations Mars Initiative) // 3rd - monkeyjunkk (66 VP, Phobolog)"
8/12/2021 15:47:25,A0106,8/12/2021,Season 2,HighTac,Saturn Systems,125,adegas74,Ecoline,105,boomata,Tharsis Republic,73,,,,,"1st - HighTac (125 VP, Saturn Systems) // 2nd - adegas74 (105 VP, Ecoline) // 3rd - boomata (73 VP, Tharsis Republic)"
8/12/2021 22:07:51,A0075,8/12/2021,Season 2,MrKnollItAll,Mining Guild,88,ragingduck,Credicor,82,chardie,United Nations Mars Initiative,72,,,,,"1st - MrKnollItAll (88 VP, Mining Guild) // 2nd - ragingduck (82 VP, Credicor) // 3rd - chardie (72 VP, United Nations Mars Initiative)"
8/13/2021 0:23:48,A0172,8/12/2021,Season 2,BreadEnthusiast,Phobolog,79,EliteNEET,Inventrix,70,Petrifis,Mining Guild,62,,,,,"1st - BreadEnthusiast (79 VP, Phobolog) // 2nd - EliteNEET (70 VP, Inventrix) // 3rd - Petrifis (62 VP, Mining Guild)"
8/13/2021 6:39:55,A0133,8/13/2021,Season 2,T4Mars+KR,Credicor,88,Jovian_Boyy,Interplanetary Cinematics,71,Harrison Gray Fallat,Tharsis Republic,63,,,,,"1st - T4Mars+KR (88 VP, Credicor) // 2nd - Jovian_Boyy (71 VP, Interplanetary Cinematics) // 3rd - Harrison Gray Fallat (63 VP, Tharsis Republic)"
8/13/2021 13:23:08,A0204,8/13/2021,Season 2,efharisto,Tharsis Republic,71,CaptainTSR,Helion,67,Andre_Kappa,Mining Guild,60,,,,,"1st - efharisto (71 VP, Tharsis Republic) // 2nd - CaptainTSR (67 VP, Helion) // 3rd - Andre_Kappa (60 VP, Mining Guild)"
8/13/2021 18:41:33,A0175,8/13/2021,Season 2,Qualitaetsgarant,Inventrix,90,Tinkerbob,Ecoline,86,musicforlife121,Teractor,86,,54,47,https://www.twitch.tv/videos/1117458865,"1st - Qualitaetsgarant (90 VP, Inventrix) // 2nd - Tinkerbob (86 VP, Ecoline) // 3rd - musicforlife121 (86 VP, Teractor)"
8/14/2021 13:29:07,A0148,8/14/2021,Season 2,AwesomeAxolotl,Tharsis Republic,99,Biccis90,Teractor,97,crazypuzz,Ecoline,75,,,,https://www.twitch.tv/videos/1118255233,"1st - AwesomeAxolotl (99 VP, Tharsis Republic) // 2nd - Biccis90 (97 VP, Teractor) // 3rd - crazypuzz (75 VP, Ecoline)"
8/14/2021 17:22:56,A0127,8/14/2021,Season 2,EliteNEET,Teractor,109,Je-Nas,Mining Guild,92,jjworshipleader,Forfeit,0,,,,https://www.twitch.tv/videos/1118458789,"1st - EliteNEET (109 VP, Teractor) // 2nd - Je-Nas (92 VP, Mining Guild) // 3rd - jjworshipleader (0 VP, Forfeit)"
8/15/2021 0:21:54,A0179,8/15/2021,Season 2,fly4777_3P,Interplanetary Cinematics,93,Harrison Gray Fallat,Ecoline,78,shadowmoonwalk,Phobolog,69,,,,,"1st - fly4777_3P (93 VP, Interplanetary Cinematics) // 2nd - Harrison Gray Fallat (78 VP, Ecoline) // 3rd - shadowmoonwalk (69 VP, Phobolog)"
8/15/2021 8:45:01,A0223,8/15/2021,Season 2,Harrison Gray Fallat,Tharsis Republic,70,fly4777_3P,United Nations Mars Initiative,68,T4Mars+KR,Inventrix,66,,,,https://www.twitch.tv/videos/1119009905,"1st - Harrison Gray Fallat (70 VP, Tharsis Republic) // 2nd - fly4777_3P (68 VP, United Nations Mars Initiative) // 3rd - T4Mars+KR (66 VP, Inventrix)"
8/15/2021 9:49:25,A0249,8/15/2021,Season 2,Dacruise,Tharsis Republic,125,efharisto,Helion,92,Rinmay87,Mining Guild,85,,,,,"1st - Dacruise (125 VP, Tharsis Republic) // 2nd - efharisto (92 VP, Helion) // 3rd - Rinmay87 (85 VP, Mining Guild)"
8/16/2021 8:01:06,A0178,8/16/2021,Season 2,T4Mars+KR,Interplanetary Cinematics,89,shermrah,Credicor,80,monkeyjunkk,Saturn Systems,72,,,,,"1st - T4Mars+KR (89 VP, Interplanetary Cinematics) // 2nd - shermrah (80 VP, Credicor) // 3rd - monkeyjunkk (72 VP, Saturn Systems)"
8/16/2021 9:51:44,A0134,8/16/2021,Season 2,screamcfc,Teractor,71,shermrah,Interplanetary Cinematics,58,fly4777_3P,Helion,52,,,,,"1st - screamcfc (71 VP, Teractor) // 2nd - shermrah (58 VP, Interplanetary Cinematics) // 3rd - fly4777_3P (52 VP, Helion)"
8/16/2021 14:00:07,A0282,8/16/2021,Season 2,Keenankj,Ecoline,96,jaythaker96,Saturn Systems,82,Ocram82,Phobolog,79,,,,,"1st - Keenankj (96 VP, Ecoline) // 2nd - jaythaker96 (82 VP, Saturn Systems) // 3rd - Ocram82 (79 VP, Phobolog)"
8/16/2021 14:05:30,A0058,8/16/2021,Season 2,AwesomeAxolotl,Interplanetary Cinematics,79,Dead_Bone,Mining Guild,72,Andrewcool,Teractor,58,,,,https://www.twitch.tv/videos/1120213954,"1st - AwesomeAxolotl (79 VP, Interplanetary Cinematics) // 2nd - Dead_Bone (72 VP, Mining Guild) // 3rd - Andrewcool (58 VP, Teractor)"
8/16/2021 15:17:27,A0137,8/16/2021,Season 2,JelleL,Mining Guild,109,komodo,Credicor,100,Broman,Tharsis Republic,93,,,,https://youtu.be/0EJ8plgERyI,"1st - JelleL (109 VP, Mining Guild) // 2nd - komodo (100 VP, Credicor) // 3rd - Broman (93 VP, Tharsis Republic)"
8/16/2021 19:44:53,A0355,8/16/2021,Season 2,Qualitaetsgarant,Ecoline,79,HoosierJeff,Interplanetary Cinematics,79,Tinkerbob,Tharsis Republic,57,55,52,,,"1st - Qualitaetsgarant (79 VP, Ecoline) // 2nd - HoosierJeff (79 VP, Interplanetary Cinematics) // 3rd - Tinkerbob (57 VP, Tharsis Republic)"
8/16/2021 20:50:15,A0161,8/16/2021,Season 2,TimFinnegan,Interplanetary Cinematics,98,RonaldMexico,Teractor,95,hazMatt,Saturn Systems,59,,,,,"1st - TimFinnegan (98 VP, Interplanetary Cinematics) // 2nd - RonaldMexico (95 VP, Teractor) // 3rd - hazMatt (59 VP, Saturn Systems)"
8/16/2021 21:18:58,A0211,8/16/2021,Season 2,tmfan,Credicor,94,ThreadPacifist,Teractor,86,StandByForHorseConch,Thorgate,63,,,,,"1st - tmfan (94 VP, Credicor) // 2nd - ThreadPacifist (86 VP, Teractor) // 3rd - StandByForHorseConch (63 VP, Thorgate)"
8/17/2021 13:03:53,A0240,8/17/2021,Season 2,Biccis90,Saturn Systems,101,Chipsmon,Helion,91,rinu100,Inventrix,79,,,,,"1st - Biccis90 (101 VP, Saturn Systems) // 2nd - Chipsmon (91 VP, Helion) // 3rd - rinu100 (79 VP, Inventrix)"
8/17/2021 15:29:50,A0016,8/17/2021,Season 2,Milestone Party,Credicor,88,mifciu,Ecoline,69,adegas74,Tharsis Republic,50,,,,,"1st - Milestone Party (88 VP, Credicor) // 2nd - mifciu (69 VP, Ecoline) // 3rd - adegas74 (50 VP, Tharsis Republic)"
8/17/2021 16:48:42,A0142,8/17/2021,Season 2,Yoshikuru,Phobolog,116,Laranjo,Tharsis Republic,104,Smior,Saturn Systems,96,,,,,"1st - Yoshikuru (116 VP, Phobolog) // 2nd - Laranjo (104 VP, Tharsis Republic) // 3rd - Smior (96 VP, Saturn Systems)"
8/17/2021 20:25:31,A0212,8/17/2021,Season 2,GoBirds,Credicor,115,Omar Lapince,Tharsis Republic,98,Tjreid1,Phobolog,98,,92,72,,"1st - GoBirds (115 VP, Credicor) // 2nd - Omar Lapince (98 VP, Tharsis Republic) // 3rd - Tjreid1 (98 VP, Phobolog)"
8/17/2021 20:36:55,A0169,8/17/2021,Season 2,Me0www,Credicor,79,Big Don,United Nations Mars Initiative,63,Street-Justice,Phobolog,58,,,,,"1st - Me0www (79 VP, Credicor) // 2nd - Big Don (63 VP, United Nations Mars Initiative) // 3rd - Street-Justice (58 VP, Phobolog)"
8/17/2021 21:53:30,A0222,8/17/2021,Season 2,esle123,Credicor,92,Tinkerbob,Interplanetary Cinematics,88,musicforlife121,Inventrix,75,,,,https://www.twitch.tv/videos/1121610007,"1st - esle123 (92 VP, Credicor) // 2nd - Tinkerbob (88 VP, Interplanetary Cinematics) // 3rd - musicforlife121 (75 VP, Inventrix)"
8/18/2021 9:35:04,A0156,8/18/2021,Season 2,adysk,Saturn Systems,143,TheNerdyPlayboy,Teractor,98,Twigg96wafc,Ecoline,94,,,,,"1st - adysk (143 VP, Saturn Systems) // 2nd - TheNerdyPlayboy (98 VP, Teractor) // 3rd - Twigg96wafc (94 VP, Ecoline)"
8/18/2021 14:16:25,A0144,8/18/2021,Season 2,Finnsane,Saturn Systems,76,lisiacz,Mining Guild,74,Lazlo23,Tharsis Republic,73,,,,,"1st - Finnsane (76 VP, Saturn Systems) // 2nd - lisiacz (74 VP, Mining Guild) // 3rd - Lazlo23 (73 VP, Tharsis Republic)"
8/18/2021 19:00:59,A0171,8/18/2021,Season 2,ecologist,Mining Guild,70,SorryDave,Ecoline,65,SomeGlitch,Teractor,57,,,,,"1st - ecologist (70 VP, Mining Guild) // 2nd - SorryDave (65 VP, Ecoline) // 3rd - SomeGlitch (57 VP, Teractor)"
8/18/2021 19:39:34,A0208,8/18/2021,Season 2,JustMartianThings,Inventrix,84,anthracite,Saturn Systems,79,ragingduck,Tharsis Republic,73,,,,,"1st - JustMartianThings (84 VP, Inventrix) // 2nd - anthracite (79 VP, Saturn Systems) // 3rd - ragingduck (73 VP, Tharsis Republic)"
8/18/2021 21:17:02,A0165,8/18/2021,Season 2,Brendan18363,Mining Guild,148,teamsquish,Inventrix,127,chardie,Forfeit,0,,,,,"1st - Brendan18363 (148 VP, Mining Guild) // 2nd - teamsquish (127 VP, Inventrix) // 3rd - chardie (0 VP, Forfeit)"
8/19/2021 11:04:38,A0146,8/19/2021,Season 2,Zzani,Teractor,93,paranoidsnail,Ecoline,70,jaythaker96,Tharsis Republic,54,,,,,"1st - Zzani (93 VP, Teractor) // 2nd - paranoidsnail (70 VP, Ecoline) // 3rd - jaythaker96 (54 VP, Tharsis Republic)"
8/19/2021 14:35:07,A0140,8/19/0021,Season 2,LuisXIV,Mining Guild,93,Inspe,Tharsis Republic,92,Flery,Helion,60,60,49,59,,"1st - LuisXIV (93 VP, Mining Guild) // 2nd - Inspe (92 VP, Tharsis Republic) // 3rd - Flery (60 VP, Helion)"
8/19/2021 18:20:22,A0163,8/19/2021,Season 2,anthracite,Helion,70,MrKnollItAll,Ecoline,68,griefdog,Teractor,61,,,,,"1st - anthracite (70 VP, Helion) // 2nd - MrKnollItAll (68 VP, Ecoline) // 3rd - griefdog (61 VP, Teractor)"
8/20/2021 5:39:32,A0151,8/19/2021,Season 2,Sickysoka,Teractor,107,KromCoconut,Thorgate,102,adegas74,Interplanetary Cinematics,72,,,,,"1st - Sickysoka (107 VP, Teractor) // 2nd - KromCoconut (102 VP, Thorgate) // 3rd - adegas74 (72 VP, Interplanetary Cinematics)"
8/20/2021 11:34:03,A0265,8/20/2021,Season 2,enoon,Tharsis Republic,61,esle123,Interplanetary Cinematics,57,Qualitaetsgarant,Helion,55,,,,https://youtu.be/amBOXH2s5q0,"1st - enoon (61 VP, Tharsis Republic) // 2nd - esle123 (57 VP, Interplanetary Cinematics) // 3rd - Qualitaetsgarant (55 VP, Helion)"
8/20/2021 12:19:35,A0236,8/20/2021,Season 2,Zzani,Saturn Systems,109,Ocram82,Tharsis Republic,89,paranoidsnail,Credicor,76,,,,,"1st - Zzani (109 VP, Saturn Systems) // 2nd - Ocram82 (89 VP, Tharsis Republic) // 3rd - paranoidsnail (76 VP, Credicor)"
8/20/2021 14:52:30,A0143,8/20/2021,Season 2,Vinkepl,Tharsis Republic,102,MistPudim,Phobolog,91,DonnieDarko84,Interplanetary Cinematics,71,,,,,"1st - Vinkepl (102 VP, Tharsis Republic) // 2nd - MistPudim (91 VP, Phobolog) // 3rd - DonnieDarko84 (71 VP, Interplanetary Cinematics)"
8/20/2021 15:37:10,A0199,8/20/2021,Season 2,HighlanderKG,Ecoline,88,Druen,Mining Guild,87,SquirtleLvl12,Teractor,84,,,,,"1st - HighlanderKG (88 VP, Ecoline) // 2nd - Druen (87 VP, Mining Guild) // 3rd - SquirtleLvl12 (84 VP, Teractor)"
8/20/2021 19:43:05,A0164,8/20/2021,Season 2,ragingduck,Ecoline,73,hlambert033,Inventrix,68,JustMartianThings,Thorgate,58,,,,,"1st - ragingduck (73 VP, Ecoline) // 2nd - hlambert033 (68 VP, Inventrix) // 3rd - JustMartianThings (58 VP, Thorgate)"
8/21/2021 6:16:34,A0270,8/21/2021,Season 2,Jovian_Boyy,Teractor,60,Harrison Gray Fallat,Saturn Systems,58,shermrah,Interplanetary Cinematics,51,,,,,"1st - Jovian_Boyy (60 VP, Teractor) // 2nd - Harrison Gray Fallat (58 VP, Saturn Systems) // 3rd - shermrah (51 VP, Interplanetary Cinematics)"
8/22/2021 5:19:48,A0180,8/22/2021,Season 2,Jovian_Boyy,Ecoline,78,Thedred,Credicor,76,screamcfc,Interplanetary Cinematics,70,,,,,"1st - Jovian_Boyy (78 VP, Ecoline) // 2nd - Thedred (76 VP, Credicor) // 3rd - screamcfc (70 VP, Interplanetary Cinematics)"
8/22/2021 5:26:20,A0061,8/22/2021,Season 2,Ghaleon,Ecoline,104,adegas74,Tharsis Republic,74,Venophile,Inventrix,71,,,,,"1st - Ghaleon (104 VP, Ecoline) // 2nd - adegas74 (74 VP, Tharsis Republic) // 3rd - Venophile (71 VP, Inventrix)"
8/22/2021 21:36:04,A0214,8/22/2021,Season 2,Me0www,Credicor,99,Mars University,Phobolog,98,Kkenne5,Ecoline,81,,,,,"1st - Me0www (99 VP, Credicor) // 2nd - Mars University (98 VP, Phobolog) // 3rd - Kkenne5 (81 VP, Ecoline)"
8/23/2021 7:29:58,A0174,8/22/2021,Season 2,Scottmars,Tharsis Republic,109,Je-Nas,Thorgate,103,karmakanik,Forfeit,0,,,,,"1st - Scottmars (109 VP, Tharsis Republic) // 2nd - Je-Nas (103 VP, Thorgate) // 3rd - karmakanik (0 VP, Forfeit)"
8/23/2021 14:10:47,A0138,8/23/2021,Season 2,Matjaas,Credicor,113,rybisznurek,Tharsis Republic,72,herius93,Mining Guild,70,,,,,"1st - Matjaas (113 VP, Credicor) // 2nd - rybisznurek (72 VP, Tharsis Republic) // 3rd - herius93 (70 VP, Mining Guild)"
8/23/2021 15:28:49,A0234,8/23/2021,Season 2,Lazlo23,Inventrix,95,Yoshikuru,Mining Guild,78,DonnieDarko84,Saturn Systems,75,,,,,"1st - Lazlo23 (95 VP, Inventrix) // 2nd - Yoshikuru (78 VP, Mining Guild) // 3rd - DonnieDarko84 (75 VP, Saturn Systems)"
8/23/2021 15:45:11,A0287,8/23/2021,Season 2,HighTac,Teractor,80,mifciu,Inventrix,80,Venophile,Thorgate,76,59,54,,,"1st - HighTac (80 VP, Teractor) // 2nd - mifciu (80 VP, Inventrix) // 3rd - Venophile (76 VP, Thorgate)"
8/24/2021 8:18:27,A0315,8/24/2021,Season 2,Harrison Gray Fallat,Helion,81,Thedred,Ecoline,75,monkeyjunkk,Credicor,59,,,,,"1st - Harrison Gray Fallat (81 VP, Helion) // 2nd - Thedred (75 VP, Ecoline) // 3rd - monkeyjunkk (59 VP, Credicor)"
8/24/2021 10:21:48,A0196,8/24/2021,Season 2,mifciu,Credicor,71,boomata,Ecoline,51,adegas74,Teractor,46,,,,,"1st - mifciu (71 VP, Credicor) // 2nd - boomata (51 VP, Ecoline) // 3rd - adegas74 (46 VP, Teractor)"
8/24/2021 15:44:50,A0241,8/24/2021,Season 2,Milestone Party,Teractor,89,adegas74,Interplanetary Cinematics,70,Venophile,Ecoline,69,,,,,"1st - Milestone Party (89 VP, Teractor) // 2nd - adegas74 (70 VP, Interplanetary Cinematics) // 3rd - Venophile (69 VP, Ecoline)"
8/24/2021 19:42:21,A0357,8/24/2021,Season 2,vstan,Helion,66,emily's worst nightmare,Saturn Systems,65,esle123,Ecoline,65,,61,34,,"1st - vstan (66 VP, Helion) // 2nd - emily's worst nightmare (65 VP, Saturn Systems) // 3rd - esle123 (65 VP, Ecoline)"
8/24/2021 21:49:12,A0210,8/24/2021,Season 2,MrKnollItAll,Thorgate,88,teamsquish,Ecoline,82,griefdog,Teractor,70,,,,,"1st - MrKnollItAll (88 VP, Thorgate) // 2nd - teamsquish (82 VP, Ecoline) // 3rd - griefdog (70 VP, Teractor)"
8/24/2021 22:00:45,A0297,8/24/2021,Season 2,ikefalcon,Teractor,93,Roto von Bismarck,Saturn Systems,74,hazMatt,Ecoline,62,,,,,"1st - ikefalcon (93 VP, Teractor) // 2nd - Roto von Bismarck (74 VP, Saturn Systems) // 3rd - hazMatt (62 VP, Ecoline)"
8/25/2021 2:27:26,A0216,8/24/2021,Season 2,ecologist,Teractor,92,Street-Justice,Helion,74,Big Don,Saturn Systems,73,,,,,"1st - ecologist (92 VP, Teractor) // 2nd - Street-Justice (74 VP, Helion) // 3rd - Big Don (73 VP, Saturn Systems)"
